company	url	picture	address	Area	tags	numOfEmplyee	category	contactEmail	contactPhone	contactName	description	twitter	facebookPage	latitude	longitude	isHiring	on logo map?	tofes?	Company Type	Comments	If your company is hiring, please add a link to the "open position" web page	~Year of establishment	~Are you familiar with the grants for Jerusalem based companies?	~Is your company looking to raise money?	~If yes- would you like to get more information about the grants?did	~If not - would you like to get more information about the grants?	~Is your company looking to raise money?	logo	Company	מקור	שם החברה באנגלית	שלוחות בחו"ל	מקור תיק לקוח	פקס	מגזר עסקי	מענק לחברות ביו	מוסד אקדמי	מעוניין בפניה יזומה	מענק הסתגלות	הוסף איש קשר ראשי כעובד חברה	מהות הפניה	ביו-גדול	מנכ"ל	ח.פ	השפעה על התאמת תוכניות הלימודים לצרכי התעשיה	תעסוקה	מסלול תעסוקה	כוונה לפתוח או להרחיב שלוחות	מסלול שכר גבוה	איזור תעשיה	שלוחות בישראל	שלוחות בירושלים	מעבדות	הקצאת קרקע	עובד עובר	תעסוקת חרדים	מסלול אחר	האם התקבלו מענקים קודמים	ביצוע מחקרים עם חוקרים באקדמיה	בעלים משני	מענק לחברות הזנק	מענק העסקת סטודנטים	כוונה לקלוט סטודנטים	תחום	מהנדסים/מתכנתים	עובדי הנהלה	עובדים אחרים	תאריך Round A	סכום Round A	תאריך Round B	סכום Round B	תאריך Seed	סכום Seed
veestars	http://veestars.com	http://madeinjlm.org/map/1px.png	Migdal Halevanon 19 Modi'in	Modi'in			Mobile	tovi@veestars.com	546647707	Dimant-Zamir Tovi	VeeStars is an app that offers customized support, guidance, encouragement, reinforcement,  and personal target management, without the need to depend on the schedule of a friend or a psychologist.					Yes, we are hiring!			Startup									<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://veestars.com">veestars</a>	הקובץ של MAdeinJLM	veestars																																										
Verisense	http://verisense.co.il	http://verisense.co.il/images/logo.jpg	19 Hartom, Har Hotzvim	HH		61	Semiconductor	lozowick@verisense.co.il	02-5716137	Pini Lozowick	Verisense, is the leading ASIC And FPGA design services company based in Israel. Services range from full turn-key solutions, to any aspect of the design including architecture, design, verification, backend services, post silicon system validation, accelerators, and board design.			31.803841	35.208135	Yes, we are hiring!			Service Provider / Outsource									<img src="http://verisense.co.il/images/logo.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://verisense.co.il">Verisense</a>	הקובץ של MAdeinJLM	Verisense																																										
VI	http://vi-app.com	http://madeinjlm.org/map/1px.png					Mobile				VI is a social platform that brings personality into our online experience.																	<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://vi-app.com">VI</a>	הקובץ של MAdeinJLM	VI																																										
ֿVideeback	http://www.videeback.com	http://www.siftech.org.il/wp-content/uploads/2013/12/videeback-temp-logo-1.jpg	Hamagid 7				Internet	muninum@gmail.com		Roy Munin	Videeback lets you create virtual training rooms for your students and friends to master new skills together, from the comfort of your home.		https://www.facebook.com/Videeback	31.765902	35.220129	Nope			Startup	2012	Yes	No						<img src="http://www.siftech.org.il/wp-content/uploads/2013/12/videeback-temp-logo-1.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.videeback.com">ֿVideeback</a>	הקובץ של MAdeinJLM	ֿVideeback																																										
Viewbix	http://www.viewbix.com	http://www.viewbix.com/img/logo.png	Yigal Alon, Bet Shemesh	Bet Shemesh		12	Internet	ben@viewbix.com	052 830 9617	Ben	Viewbix allows you to take your existing video and add apps and calls to action to your video. Viewbix allows you to brand your video by adding a custom skin and logo to your video. On the backend, Viewbix provides you with the analytical data you need to A/B test different videos to ensure the best experience for your viewers. 	Viewbix	https://www.facebook.com/Viewbix	31.756605	34.988167	Yes, we are hiring!			Startup	If you have any questions feel free to contact me.	www.viewbix.com							<img src="http://www.viewbix.com/img/logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.viewbix.com">Viewbix</a>	הקובץ של MAdeinJLM	Viewbix																																										
Viryanet	http://www.viryanet.com/	http://madeinjlm.org/map/1px.png	Har Hotzvim	HH	Big	50	Software							31.802765	35.209683													<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.viryanet.com/">Viryanet</a>	הקובץ של MAdeinJLM	Viryanet																																										
VLX (Van Leer-Xenia Ventures)	http://vlx.co.il	http://www.vlvj.co.il/images/VL-TR-PNG.png	Givat Ram	Givat Ram			Investor			Ori  Choshen	VLX formed recently, when Xenia VC & Van Leer Ventures merged their early-stage investment activities. They’re based in Givat Ram, and operate a technological OCS incubator specializing in the fields of Information Technology, Medical Devices and Industrial Applications.			31.779123	35.196724													<img src="http://www.vlvj.co.il/images/VL-TR-PNG.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://vlx.co.il">VLX (Van Leer-Xenia Ventures)</a>	הקובץ של MAdeinJLM	VLX (Van Leer-Xenia Ventures)																																										
VMWare	http://www.vmware.com/il	http://madeinjlm.org/map/1px.png	Hartum 8	HH		50	Software				VMware, Inc. is a software company that provides cloud and virtualization software and services. Acquired Jerusalem-based SaaS company DigitalFuel in 2011			31.802838	35.213303													<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.vmware.com/il">VMWare</a>	הקובץ של MAdeinJLM	VMWare																																										
Wadi Ventures	http://wadiventures.com/	http://wadiventures.com/wp-content/uploads/2012/07/Wadi-Ventures-resized2.png	Mevaseret, TLV	Other			Investor			Reuven Ulmansky	Wadi Ventures, founded in August 2012 by Jonathan Pacifici and Reuven Ulmansky  (read about the team here), is the new and improved accelerator model for early stage disruptive internet and new media startups in Israel. Wadi Ventures is on the lookout for Israel’s top talent and plans to accept around 60 new startups by the end of 2014. Israel’s startup community is bursting at the seams with unique ideas but we’ve seen awesome ideas fall flat when the business side of the company did not receive proper attention. That’s where Wadi Venture comes in.  We are a new European-backed micro seed venture capital fund. Our program provides its companies with an early stage acceleration and investment program with a focus on three fronts so that they are brought to launch as well-structured companies with great business connections.			31.80519	35.149205													<img src="http://wadiventures.com/wp-content/uploads/2012/07/Wadi-Ventures-resized2.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://wadiventures.com/">Wadi Ventures</a>	הקובץ של MAdeinJLM	Wadi Ventures																																										
Wayzee	http://wayzee.co.il	http://img.uxi.org.il.s3.amazonaws.com/2012/04/wayzee181555131.jpg	25 Nachal shimshon st. Ramat Bet Shemesh	Bet Shemesh		2	Service Provider / Outsource	info@wayzee.co.il	054-8422325	Elchanan Cohen	Everything for you online presence! We are a design development &consulting firm specialized in UX, design, identity, development & programming.  We have experience with startup and commercial companies.  turn your idea into business.			31.712151	34.999911	Nope			Service Provider / Outsource			2007	No	Yes				<img src="http://img.uxi.org.il.s3.amazonaws.com/2012/04/wayzee181555131.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://wayzee.co.il">Wayzee</a>	הקובץ של MAdeinJLM	Wayzee																																										
Webbing	https://alpha.webbing.me/	http://www.jerusalemstartuphub.com/wp-content/uploads/2013/07/Webbing-260x218.png	Jerusalem Startup Hub Shlomtzion	Center	Pre-Seed	2	Internet			Roman (Rafael) Gold 	Interest-based network powered by game-changing technology. Webbing revolutionizes social connectivity and content discovery, making sure you find the right people and the right information.		https://www.facebook.com/webbing.me	31.778813	35.22249													<img src="http://www.jerusalemstartuphub.com/wp-content/uploads/2013/07/Webbing-260x218.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="https://alpha.webbing.me/">Webbing</a>	הקובץ של MAdeinJLM	Webbing																																										
Winsite	http://win-site.co.il/	http://madeinjlm.org/map/1px.png	Canfey Nesharim 68, Jerusalem	Givat Saul		5	Service Provider / Outsource	netta@itrigger.co.il	054-6548055	Netta Shafir	Website development company			31.787609	35.181892	Yes, we are hiring!			Service Provider / Outsource									<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://win-site.co.il/">Winsite</a>	הקובץ של MAdeinJLM	Winsite																																										
Wishi	http://wishi.me	http://dkrf2s8o4m66u.cloudfront.net/media/frontend/images/terms.png	JVP Media Quarter, Hevron Road 24	Talpiot	Young	7	Internet	Lia Kislev			Wishi  is a new age social fashion styling experience. 			31.767147	35.225628													<img src="http://dkrf2s8o4m66u.cloudfront.net/media/frontend/images/terms.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://wishi.me">Wishi</a>	הקובץ של MAdeinJLM	Wishi																																										
Woxxer	www.woxxer.com	http://marketing.woxxer.com/logo.png	16  Shai Agnon 	Katamon	young	6	Internet	Yoni@woxxer.com	054-723-4614	Yoni Cantor Wiseman	Woxxer is a feedback capture tool for internet content engagement. Woxxer offers businesses the ability to search and filter customer preferences and turns their business-consumer relationships, social media campaigns and market research from an art into a science	woxxerinc	www.facebook.com/woxxer	31.762085	35.203766		Woxxer offers users a way to express themselves meaningfully, with the ease of a like button but the depth of a conversation.		Startup		No	2013																																																			
zapo	http://www.zapo.co.il	http://zapo.co.il/wp-content/themes/zapo/img/logo.png	3 Chaim Reuven Kubersky			2	Internet	info@zapo.co.il	972779555694	amiel riss	zapo develops a way to design and order online Personalized Gifts and custom promotional products.		https://www.facebook.com/zapo.co.il	31.75408	35.243858	Nope			Startup			2013	No	Yes			Yes	<img src="http://zapo.co.il/wp-content/themes/zapo/img/logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.zapo.co.il">zapo</a>	הקובץ של MAdeinJLM	zapo																																										
Zifim	http://www.behance.net/zifim	http://behance.vo.llnwd.net/profiles19/1357647/cd84f07dd804268aacb50a5140bb8c6c.png	tzeret 7 jerusalem, Israel	Talpiot			Service Provider / Outsource	harel850@gmail.com	525734948	Harel Menachem	Zifim is a Visual Communication and Illustration studio. The studio was founded by Amasa Menachem, graduates of the Visual Communications Department in Bezalel Academy, Jerusalem, and Harel Menachem, graduates of the Visual Communications Department in Shenkar Academy, Ramat Gan. Amasa specialising in web design and Illustration and for culture. Harel specializing in typography design and high quality branding. 		https://www.facebook.com/zifimDesign	31.752611	35.212115	Nope			Service Provider / Outsource				No	No			No	<img src="http://behance.vo.llnwd.net/profiles19/1357647/cd84f07dd804268aacb50a5140bb8c6c.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.behance.net/zifim">Zifim</a>	הקובץ של MAdeinJLM	Zifim																																										
אברהם פרמה				בחר איזור תעשיה					0546644754	יונה גפן	מפתחת טכנולוגיה בתאי גזע.					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">אברהם פרמה</a>	הקובץ של הרל"י	Avraham Pharma	לא	מודיעין עסקי - ביו		היי-טק		לא	לא	לא	כן	מעבר לירושלים	לא	יונה גפן		לא	לא	לא	לא	לא		כן	לא	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
אברון מערכות	http://www.evronsystems.co.il		כפר-ההייטק, ת.ד. 39235	כפר היי-טק		2			1-700-50-30-30	אבי מרון	אספקת פתרונות בתחום המערכות בקרה והתראה			31.782	35.2155	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.evronsystems.co.il">אברון מערכות</a>	הקובץ של הרל"י	Evron	לא	אחר	02-5610195	היי-טק	לא	לא	כן	לא	כן	אחר	לא	אבי מרון		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא		2	2	16						
אגת פתרונות תוכנה	http://www.agatsolutions.com/		הרטום 19, בניין בינת קומה 8	הר חוצבים		6	software		052-5209860	יואב קרומבי	החברה עוסקת בכתיבת תוכנה ובמתן שירותי תמיכה למשרדי ממשלה			31.782	35.2155	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.agatsolutions.com/">אגת פתרונות תוכנה</a>	הקובץ של הרל"י	agat	לא	הפניה		היי-טק	לא	לא	כן	לא	כן	מעבר לירושלים	לא	גיא אלדן	513026542	לא	לא	לא	כן	לא		כן	לא	לא	כן	לא	לא	לא	לא	לא	Itzik Ozer	לא	כן	כן		5	1							
אדורו ביוטק			Bancroft Way	בחר איזור תעשיה					0544422111	ברוך הלפרט	פארמה																	<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">אדורו ביוטק</a>	הקובץ של הרל"י	Aduro biotech	כן	הפניה		ביו-טק		לא	כן	לא	כן	אחר	לא	Stephen Isaacs'		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	כן	לא	לא	Shai Melcer	לא	לא	לא										
אומת	http://www.omative.com		נחום הפסדי 5, ת.ד. 34272	גבעת שאול			software		02-6510310	חמדה גלעד	Optimization& Machine Automation Technology			31.7941	35.2148	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.omative.com">אומת</a>	הקובץ של הרל"י	Omat	לא	אחר	02-6511786	אחר	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
אוקון מדיקל	http://www.oconmed.com		בניין 2.3 כפר ההייטק גבעת רם	Givat Ram		2	medical	ariel@ococmed.com	052-6363316	אריאל ויינשטיין	פיתוח אמצעי מניעה לנשים			31.782	35.2155	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.oconmed.com">אוקון מדיקל</a>	הקובץ של הרל"י	Ocon Medical	לא	אחר	02-6551881	ביו-טק	לא	לא	כן	לא	כן	מוסד אקדמי	לא	אריאל ויינשטיין	514568328	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן			1	1						
אוקלארו	http://www.oclaro.com		בית הדרים, ת.ד. 45076	HH					02-5827171	מיכל אפל	suppliers of optical components, modules and subsystems for the global optical communications market and into industrial and consumer laser applications					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.oclaro.com">אוקלארו</a>	הקובץ של הרל"י	Oclaro	לא	אחר	02-5827172	ביו-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
אזור פי סי אר				בחר איזור תעשיה					+44 203 286 4657	סיימון בנגן						Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">אזור פי סי אר</a>	הקובץ של הרל"י	Azure pcr	לא	אחר		ביו-טק		לא	לא	לא	כן	מעבר לירושלים	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
אי.אי.סי.סי.			בית הדפוס 12, בית השנהב אגף B קומה ב'	גבעת שאול			software		02-6525442	שלומי ויסמן	הנדסת חשמל ומערכות בקרה			31.7941	35.2148	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">אי.אי.סי.סי.</a>	הקובץ של הרל"י	E.E.C.C	לא	אחר	02-6525443	היי-טק	לא	לא	לא	לא	כן	אחר	לא	שלומי ויסמן		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
איון מדיקל	http://www.eye-yon.com		כפר ההיטק קמפוס גבעת רם , האוניברסיטה העברית	כפר היי-טק		2	medical		02-6553333	נחום פררה	חברת הזנק בתחום המכשור הרפואי האופתלמי המפתחת פתרונות יחודיים להקלה וטיפול של בצקת בקרנית			31.782	35.2155	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.eye-yon.com">איון מדיקל</a>	הקובץ של הרל"י	Eyeyon Medical	לא	אחר	077-3454332	ביו-טק	לא	כן	כן	לא	כן	מוסד אקדמי	לא	נחום פררה	514509603	לא	לא	לא	לא	לא		כן	לא	לא	לא	לא	לא	לא	לא	כן		כן	כן	כן		1	1							
איזון פארמה	http://www.izunpharma.com		קריית המדע 5	HH			pharma		02-5860780	איימי רוזנבלאו	anti-inflammatory therapies			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.izunpharma.com">איזון פארמה</a>	הקובץ של הרל"י	Izun Pharma	לא	אחר	02-5861814	ביו-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
איי.אי.איי	http://www.iei-energy.co.il/		ת.ד. 45408	HH			Energy		02-5412884	אסתי אספיר	פיתוח פרויקט מיצוי דלקים וגז טבעי בתת הקרקע (In-Situ) מפצלי שמן			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.iei-energy.co.il/">איי.אי.איי</a>	הקובץ של הרל"י	IEI	לא	אתר אינטרנט	02-5412801	ביו-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
איי.וי. אל. לאבס	http://www.avl-labs.com		המרפא 8	הר חוצבים			medical		02-5400796	מתי בן משה				31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.avl-labs.com">איי.וי. אל. לאבס</a>	הקובץ של הרל"י	AVL labs	לא	אחר	02-5401168	ביו-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
איי.וי.אקס	http://www.avx.com		המרפא 3	הר חוצבים		12	software		02-5720111	צבי ויסברט	פיתוח, ייצור ושיווק של רכיבים אלקטרוניים			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.avx.com">איי.וי.אקס</a>	הקובץ של הרל"י	AVX	כן	בחר מקור	02-5815999	היי-טק	לא	לא	כן	לא	כן	בחר מהות הפניה	לא		510862857	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא		12	10							
איי.טי.סי. סיסטמס	http://www.bellacontour.com		גן טכנולוגי מלחה, בניין A, קומה 1	גט"י מלחה			pharma		02-6483519	אורי שמש				31.7698	35.21215	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.bellacontour.com">איי.טי.סי. סיסטמס</a>	הקובץ של הרל"י	ATC Systems	לא	אחר	02-6483541	ביו-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
איי.פי. קונקט	http://www.ipconnect.co.il/		קרית מדע 6	HH			software		074-7800100	נחמן כהן	פתרונות תקשורת מתקדמים לעסקים ולמוסדות. תחומי הפעילות של אי.פי. קונקט הם: הקמה ותחזוק של מרכזיות אי פי  אספקת ציוד מחשבים (חומרה ותוכנה) והקמת רשתות תקשורת  שירותי תמיכה ותחזוקה לרשתות מחשבים ושרתים  הספקת תקשורת נייחת.			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.ipconnect.co.il/">איי.פי. קונקט</a>	הקובץ של הרל"י	I.P. Connect	לא	אתר אינטרנט		היי-טק	לא	לא	לא	לא	כן	אחר	לא	נחמן כהן		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
איי.פי.טי. מערכות תוכנה	http://www.aptsoftware.co.il/	http://www.hotzvim.org.il/wp-content/uploads/2013/10/aptsoftware-185x120.png	הרטום 9 הר חוצבים	הר חוצבים					5325222- 02	אברהם	החברה נוסדה בשנת 1998 בירושלים במטרה למצוא את הפתרונות האמיתיים למנהלי המוסדות והארגונים, לראשי קרנות החסד והגמחים, ולבעלי העסקים, אשר ייתן להם מענה לצרכים הייחודיים בציבור החרדי והדתי. המערכות מציעות את הפתרונות המתקדמים ביותר לשליטה ובקרה בכל תחומי ניהול הכספים ויחסי הציבור של המוסד, כ"כ פתרונות סליקה בכל אמצעי התשלום הקיימים בשוק, הן במזומן, הן בשקים, הן בהוראות קבע, והן בכרטיסי אשראי. בשנת 2002 נפתח בהיכלי בית היצירה של חברת A.P.T מערכות תוכנה, מחלקה חדשה לכתיבת תוכנות ושיווק לעסקים גדולים וקטנים, כדוגמת בתי מלון, בתי קברות, עם אופציות רבות של תצוגה ויזואלית, וכו'.			31.809	35.2235	Nope												<img src="http://www.hotzvim.org.il/wp-content/uploads/2013/10/aptsoftware-185x120.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.aptsoftware.co.il/">איי.פי.טי. מערכות תוכנה</a>	הקובץ של הרל"י	APT Software	לא	אתר אינטרנט		היי-טק	לא	לא	לא	לא	כן	אחר	לא	אברהם		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
אימיונווייטיב טראפיס	http://www.immunovative.co.il		גן טכנולוגי מלחה, בניין 1	Malcha			pharma	info@immunovative.co.il	02-6506288	טלי גן	פיתוח תרופות לחיזוק המערכת החיסונית של התא לטובת מענה לסרטן ומחלות זיהומיות			31.7698	35.21215	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.immunovative.co.il">אימיונווייטיב טראפיס</a>	הקובץ של הרל"י	Immunovative Therapies	לא	בחר מקור		ביו-טק	לא	לא	כן	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	כן	לא		לא	לא	לא										
אינוסייו				בחר איזור תעשיה					054-4440272	ד"ר ארתור נימון	מנועים. (המדענים הרוסים) מעוניינים לפתוח חברה בירושלים					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">אינוסייו</a>	הקובץ של הרל"י	lnnosave	לא	אתר אינטרנט		היי-טק		לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Yosef Apter	לא	לא	לא										
אינטק פארמה	http://www.intecpharma.com/		הרטום 12 ת.ד. 45219	HH			pharma		0543040930	Nir Sassi	Intec Pharma is a drug development company, applying its innovative proprietary gastric retention technology to develop improved formulations of existing drugs.			31.809	35.2235	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.intecpharma.com/">אינטק פארמה</a>	הקובץ של הרל"י	Intec Phama	לא	אחר	02-5869176	ביו-טק		לא	לא	לא	כן	הרחבת עסק בירושלים	לא	גיורא קרני		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Shai Melcer	לא	לא	לא										
אינקס זמיר	http://www.inexzamir.com		גט"י מלחה, בניין 1/22	Malcha					02-6797460	סת' ג'ייקובסון	The company offers engineering insight through experience in Parking, Toll Road, Security, Surveillance, ITS, Travel Time, Traffic Management and Access Control applications. From system design to local onsite management of systems installation, our aim is to prove ourselves a valuable partner for your project.					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.inexzamir.com">אינקס זמיר</a>	הקובץ של הרל"י	Inex Zamir	לא	אחר	02-6797470	היי-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
אינרסנס	http://www.innersense-semi.com/		הרטום 19	HH		7	software	bienen@gmail.com	02-5634446	Yakov Bienenstock				31.809	35.2235	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.innersense-semi.com/">אינרסנס</a>	הקובץ של הרל"י	Innersense	לא	אחר	15325619631	היי-טק		לא	כן	לא	כן	אחר	לא		513180190	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	nisan lieblein	לא	לא	לא		5	2							
אל סיאלו	http://www.alcielo.com/		נחום חפצדי 5	גבעת שאול			software		02-6595539	שחק משה	מו"פ וייצור טכנולוגיות לייזר וגלאים. - החברה קיימת כ-12 שנים.			31.7941	35.2148	Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.alcielo.com/">אל סיאלו</a>	הקובץ של הרל"י	Al Cielo	כן	אתר אינטרנט	02-6541221	היי-טק	לא	לא	לא	לא	כן	אחר	לא	ארנון ארבל		לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
אלומון לאבס	http://www.alomone.com/	http://www.alomone.com/images/english/logo.jpg	המרפא 8 ת.ד. 4287	הר חוצבים			pharma		02-5871102	יהודית מובשוביץ	production of primary antibodies, small molecules and proteins and peptides used in basic science research			31.809	35.2235	Nope												<img src="http://www.alomone.com/images/english/logo.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.alomone.com/">אלומון לאבס</a>	הקובץ של הרל"י	Alomon Labs	לא	בחר מקור	02-5871106	ביו-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
אמפאייר	http://www.mpayer.co.il		המרפא 8, בית בינת, הר-חוצבים	HH		3		contact@empayer.co.il	02-5388119	שמואל יחזקאל	פיתוח תוכנה ל-WEB, סמארטפונים עבור חברות וכן יזמויות פרטיות בתחום					Yes, we are hiring!												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.mpayer.co.il">אמפאייר</a>	הקובץ של הרל"י	Mpayer	לא	אחר	02-5388119	היי-טק	לא	כן	כן	לא	כן	מוסד אקדמי	לא	שמואל יחזקאל	514598663	לא	כן	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן			2	1						
אנרטי	http://www.enertgroup.com		גט"י מלחה בניין 1B	גט"י מלחה			software		02-6502777	אסף חרץ	Optimization of Thermal Solar Power Generation Plants			31.7698	35.21215	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.enertgroup.com">אנרטי</a>	הקובץ של הרל"י	Ener-T	כן	אחר	02-6502778	היי-טק	לא	לא	לא	לא	כן	הרחבת עסק בירושלים	לא	אסף חרץ		לא	לא	לא	כן	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
אפוסנס בע"מ 				בחר איזור תעשיה				info@aposense.com	039215717	Alon Dumanis	פיתוח מוצרי הדמיה ותרופות מולקולאריות					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">אפוסנס בע"מ </a>	הקובץ של הרל"י	Aposense	לא	מודיעין עסקי - ביו		ביו-טק		לא	לא	לא	כן	אחר	לא	יורם אשרי		לא	לא	לא	לא	לא		כן	לא	לא	לא	לא	לא	לא	לא	לא	Udi Ben-dror	לא	לא	לא										
